annotator_ID|topic|original_text|counterfactual|timeInS|a_frames|a_fluency|a_meaning|experiment_type|original_frames|target_frames
11|ne|* Shipping nuclear waste internationally poses an increased potential threat to interception to terrorism ( though this has not happened yet with any of the waste shipped by other countries ) .|* Shipping of nuclear weapons internationally poses an increased potential threat to interception to terrorism (though this has not happened yet with any of the renewable panels shipped by other countries).|30756|ACCIDENTS/SECURITY-COSTS-----------|4|0|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP50//ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP10|O-WASTE-ACCIDENTS/SECURITY|ACCIDENTS/SECURITY-RENEWABLES//ACCIDENTS/SECURITY-RENEWABLES
31|ne|* Shipping nuclear waste internationally poses an increased potential threat to interception to terrorism ( though this has not happened yet with any of the waste shipped by other countries ) .|* Shipping of nuclear weapons internationally poses an increased potential threat to interception to terrorism (though this has not happened yet with any of the renewable panels shipped by other countries).|883|ACCIDENTS/SECURITY-----------WEAPONS-|2|-1|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP50//ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP10|O-WASTE-ACCIDENTS/SECURITY|ACCIDENTS/SECURITY-RENEWABLES//ACCIDENTS/SECURITY-RENEWABLES
99|ne|* Shipping nuclear waste internationally poses an increased potential threat to interception to terrorism ( though this has not happened yet with any of the waste shipped by other countries ) .|* Shipping of nuclear weapons internationally poses an increased potential threat to interception to terrorism (though this has not happened yet with any of the renewable panels shipped by other countries).|1061|ACCIDENTS/SECURITY------------|5|1|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP50//ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP10|O-WASTE-ACCIDENTS/SECURITY|ACCIDENTS/SECURITY-RENEWABLES//ACCIDENTS/SECURITY-RENEWABLES
11|ne|: Nuclear energy is not renewable resource .|: Nuclear energy is not .: Nuclear oil is not fossil coal oil.|178|----FOSSIL--------|1|-1|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP10|O-RENEWABLES|FOSSIL
31|ne|: Nuclear energy is not renewable resource .|: Nuclear energy is not .: Nuclear oil is not fossil coal oil.|174|----FOSSIL--------|2|-1|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP10|O-RENEWABLES|FOSSIL
99|ne|: Nuclear energy is not renewable resource .|: Nuclear energy is not .: Nuclear oil is not fossil coal oil.|1316|------------|1|-1|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP10|O-RENEWABLES|FOSSIL
11|ne|: Nuclear energy is not renewable resource .|: Nuclear energy is not just nuclear, but oil is not coal oil.|91|----FOSSIL----RENEWABLES----|3|-1|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP50|O-RENEWABLES|FOSSIL
31|ne|: Nuclear energy is not renewable resource .|: Nuclear energy is not just nuclear, but oil is not coal oil.|56|----FOSSIL--------|1|-1|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP50|O-RENEWABLES|FOSSIL
99|ne|: Nuclear energy is not renewable resource .|: Nuclear energy is not just nuclear, but oil is not coal oil.|129|----FOSSIL--------|2|-1|ne/framed_decoding0.2/exchange_random_labels_1_by_t5-small_TOP50|O-RENEWABLES|FOSSIL
11|ne|A number of nuclear energy innovations have made it a much more feasible choice than others .|A number of others have made nuclear energy an expensive choice and have made it a much more feasible choice than others.|101|-COSTS-----PUBLIC------|2|0|ne/exchange_random_labels_1_by_t5-small_TOP50//ne/exchange_random_labels_1_by_t5-small_TOP10|O-TECHNOLOGICAL|PUBLIC//PUBLIC
